id,anomalous_pix_perc,cloud_cover,origin_x,origin_y,acquired,strip_id\n
20181017_154852_104d,0,0,414141,4300911,2018-10-17T15:48:52.281359Z,1772447
20181017_154853_104d,0,0,412788,4307631,2018-10-17T15:48:53.233466Z,1772447
20181018_154724_0f2d,0,0,440076,4280022,2018-10-18T15:47:24.833652Z,1774403
20181020_154754_1049,0,0,428607,4271907,2018-10-20T15:47:54.520847Z,1779712
20181020_160848_101f,0,0.01,445245,4300164,2018-10-20T16:08:48.519504Z,1779058
20181020_160934_1003,0,0,420450,4306776,2018-10-20T16:09:34.453653Z,1779072
20181020_160937_1003,0,0,415446,4284684,2018-10-20T16:09:37.620353Z,1779072
20181022_154826_0f33,0,0,413595,4272687,2018-10-22T15:48:26.292148Z,1783925
20181022_154827_0f33,0,0,412230,4279428,2018-10-22T15:48:27.250022Z,1783925
20181022_161113_0f52,0,0,411642,4303305,2018-10-22T16:11:13.570302Z,1783967
20181023_154659_104a,0,0,432807,4289781,2018-10-23T15:46:59.43393Z,1787400
20181023_160425_0e26,0,0,420936,4297710,2018-10-23T16:04:25.921294Z,1786959
20181024_154635_101c,0,0,435552,4281189,2018-10-24T15:46:35.101381Z,1789149
20181024_154637_101c,0,0,431406,4301415,2018-10-24T15:46:37.973955Z,1789149
20181024_154638_101c,0,0.01,430083,4308183,2018-10-24T15:46:38.931304Z,1789149
20181024_154813_1043,0.01,0,400200,4277061,2018-10-24T15:48:13.042453Z,1789847
20181024_161016_1021,0,0.01,413067,4307118,2018-10-24T16:10:16.257779Z,1789986
20181028_154631_1_104d,0,0,432249,4282737,2018-10-28T15:46:31.008648Z,1799659
20181028_154634_104d,0,0,426861,4309905,2018-10-28T15:46:34.860591Z,1799659
20181028_161003_1010,0,0.02,417924,4302759,2018-10-28T16:10:03.179297Z,1799882
20181029_161114_103e,0,0,399435,4310454,2018-10-29T16:11:14.486325Z,1802257
20190915_163313_10_1059,0,0.01,425103,4274955,2019-09-15T16:33:13.107929Z,2679157
20191002_145412_1049,0.01,0,449670,4311840,2019-10-02T14:54:12.234014Z,2720650
20191002_160645_0e20,0.01,0.16,399972,4297959,2019-10-02T16:06:45.051007Z,2720551
20191004_161619_103b,0,0,412152,4304556,2019-10-04T16:16:19.19147Z,2725718
20191004_161620_103b,0,0,410559,4297401,2019-10-04T16:16:20.223793Z,2725718
20191004_161629_103c,0.01,0,443094,4305915,2019-10-04T16:16:29.733715Z,2725490
20191004_161630_103c,0.01,0,441432,4298688,2019-10-04T16:16:30.767087Z,2725490
20191005_160503_0e19,0.01,0,438273,4293186,2019-10-05T16:05:03.135442Z,2732842
20191005_160740_0e0f,0.01,0,414582,4292472,2019-10-05T16:07:40.853553Z,2728033
20191007_162021_1040,0,0.12,395043,4279779,2019-10-07T16:20:21.384287Z,2733378
20191007_163451_25_105e,0,0.11,420951,4304502,2019-10-07T16:34:51.25181Z,2733185
20191008_161735_103b,0,0,409773,4294686,2019-10-08T16:17:35.984921Z,2735827
20191009_160552_0e19,0.01,0,413577,4307394,2019-10-09T16:05:52.509157Z,2742704
20191009_161931_1010,0,0,394449,4288533,2019-10-09T16:19:31.806225Z,2736531
20191012_145252_0f46,0,0,436269,4283235,2019-10-12T14:52:52.144166Z,2744845
20191012_145635_0f4d,0,0,398523,4295514,2019-10-12T14:56:35.999763Z,2745809
20191014_161609_1025,0,0,419910,4311996,2019-10-14T16:16:09.558422Z,2750238
20191014_163732_21_106e,0,0.01,393525,4288149,2019-10-14T16:37:32.21342Z,2750930
20191017_161607_1032,0,0,418842,4273566,2019-10-17T16:16:07.092373Z,2758718
20191018_145522_1050,0.01,0,409737,4291812,2019-10-18T14:55:22.777335Z,2761223
20191018_163307_67_1064,0,0.09,440064,4315245,2019-10-18T16:33:07.671209Z,2761519
20191019_145448_0f36,0.01,0,406548,4293441,2019-10-19T14:54:48.735321Z,2764010
20191019_161812_103d,0,0,411759,4274085,2019-10-19T16:18:12.976798Z,2764089
20191020_163347_43_105d,0,0.07,409128,4280796,2019-10-20T16:33:47.439007Z,2766999
20191022_145349_1054,0,0,437763,4277892,2019-10-22T14:53:49.505715Z,2772444
20191022_161616_1001,0,0.02,437469,4275729,2019-10-22T16:16:16.466289Z,2773021
20191023_145409_104a,0.01,0,411756,4273617,2019-10-23T14:54:09.762846Z,2775296
20191023_145410_104a,0.01,0,410502,4280244,2019-10-23T14:54:10.6987Z,2775296
20191023_145412_104a,0.01,0,407970,4293510,2019-10-23T14:54:12.569884Z,2775296
20191023_163254_98_1061,0,0.06,436617,4307994,2019-10-23T16:32:54.989099Z,2775383
